Side House and Back House 3/16 12am

1.69mm Card
0 6 station_c0_side_house_c3_right_wall_p0_base_wall_0
0 7 station_c0_side_house_c3_right_wall_p0_base_wall_1
0 8 station_c0_side_house_c4_left_wall_p0_base_wall_0
0 9 station_c0_side_house_c4_left_wall_p0_base_wall_1
0 11 station_c0_side_house_c4_left_wall_c0_connector_slots_p0_pin0_1
0 12 station_c0_side_house_c4_left_wall_c0_connector_slots_p1_pin1_0
0 13 station_c0_side_house_c4_left_wall_c0_connector_slots_p1_pin1_1
0 18 station_c1_back_house_c0_floor_p0_base_floor_0
0 27 station_c1_back_house_c6_chimney_c0_core_p1_core_base_layer_1
1 14 station_c0_side_house_c7_chimney_c0_core_p0_core_base_layer_0
1 16 station_c0_side_house_c7_chimney_c0_core_p2_core_base_layer_2
1 17 station_c0_side_house_c7_chimney_c0_core_p3_core_base_layer_3
1 20 station_c1_back_house_c1_back_wall_p0_base_wall_0
1 21 station_c1_back_house_c1_back_wall_p0_base_wall_1
1 22 station_c1_back_house_c2_right_wall_p0_base_wall_0
1 23 station_c1_back_house_c2_right_wall_p0_base_wall_1
1 24 station_c1_back_house_c3_left_wall_p0_base_wall_0
1 25 station_c1_back_house_c3_left_wall_p0_base_wall_1
1 26 station_c1_back_house_c6_chimney_c0_core_p0_core_base_layer_0
1 28 station_c1_back_house_c6_chimney_c0_core_p2_core_base_layer_2
1 29 station_c1_back_house_c6_chimney_c0_core_p3_core_base_layer_3
2 0 station_c0_side_house_c0_floor_p0_base_floor_0
2 1 station_c0_side_house_c0_floor_p0_base_floor_1
2 2 station_c0_side_house_c1_front_wall_p0_base_wall_0
2 3 station_c0_side_house_c1_front_wall_p0_base_wall_1
2 4 station_c0_side_house_c2_back_wall_p0_base_wall_0
2 5 station_c0_side_house_c2_back_wall_p0_base_wall_1
2 10 station_c0_side_house_c4_left_wall_c0_connector_slots_p0_pin0_0
2 15 station_c0_side_house_c7_chimney_c0_core_p1_core_base_layer_1
2 19 station_c1_back_house_c0_floor_p0_base_floor_1

0.56mm Card
0 11 station_c0_side_house_c2_back_wall_c2_window_p0_frame
0 13 station_c0_side_house_c3_right_wall_p1_outside_wall_0
0 14 station_c0_side_house_c3_right_wall_p1_outside_wall_1
0 18 station_c0_side_house_c5_front_roof_p1_roof_layer_1
0 44 station_c1_back_house_c1_back_wall_p1_outside_wall_0
0 45 station_c1_back_house_c1_back_wall_p1_outside_wall_1
1 0 station_c0_side_house_c0_floor_p1_inside_floor
1 1 station_c0_side_house_c1_front_wall_p1_outside_wall_0
1 2 station_c0_side_house_c1_front_wall_p1_outside_wall_1
1 8 station_c0_side_house_c2_back_wall_c0_window_p1_sill
1 10 station_c0_side_house_c2_back_wall_c1_window_p1_sill
1 15 station_c0_side_house_c3_right_wall_p2_inside_wall
1 33 station_c0_side_house_c7_chimney_c2_four_walls_p1_left_wall
